case_id,reference_suite,expected_semantics,result,raw_detection_count,strict_candidate_count,reobserve_candidate_count,merged_split_candidate_count,max_confidence,annotation
native3d_foreground_occlusion_baseline,official_simenv_20260705_3d_red_ball_occlusion,strict_candidate_required,pass,1,1,0,0,0.9568,images/native3d_foreground_occlusion_baseline_current_detector.png
native3d_foreground_occlusion_left_05pct_target,official_simenv_20260705_3d_red_ball_occlusion,reobserve_candidate_required,pass,1,0,1,0,0.1857,images/native3d_foreground_occlusion_left_05pct_target_current_detector.png
native3d_foreground_occlusion_left_10pct_target,official_simenv_20260705_3d_red_ball_occlusion,reobserve_candidate_required,pass,1,0,1,0,0.1917,images/native3d_foreground_occlusion_left_10pct_target_current_detector.png
native3d_foreground_occlusion_left_15pct_target,official_simenv_20260705_3d_red_ball_occlusion,reobserve_candidate_required,pass,1,0,1,0,0.2167,images/native3d_foreground_occlusion_left_15pct_target_current_detector.png
native3d_foreground_occlusion_left_25pct_target,official_simenv_20260705_3d_red_ball_occlusion,reobserve_candidate_required,pass,1,0,1,0,0.242,images/native3d_foreground_occlusion_left_25pct_target_current_detector.png
native3d_foreground_occlusion_left_35pct_target,official_simenv_20260705_3d_red_ball_occlusion,reobserve_candidate_required,pass,1,0,1,0,0.272,images/native3d_foreground_occlusion_left_35pct_target_current_detector.png
native3d_foreground_occlusion_left_45pct_target,official_simenv_20260705_3d_red_ball_occlusion,strict_candidate_required,pass,1,1,0,0,0.7488,images/native3d_foreground_occlusion_left_45pct_target_current_detector.png
native3d_foreground_occlusion_left_55pct_target,official_simenv_20260705_3d_red_ball_occlusion,strict_candidate_required,pass,1,1,0,0,0.7998,images/native3d_foreground_occlusion_left_55pct_target_current_detector.png
native3d_foreground_occlusion_left_65pct_target,official_simenv_20260705_3d_red_ball_occlusion,strict_candidate_required,pass,1,1,0,0,0.8437,images/native3d_foreground_occlusion_left_65pct_target_current_detector.png
native3d_foreground_occlusion_left_75pct_target,official_simenv_20260705_3d_red_ball_occlusion,strict_candidate_required,pass,1,1,0,0,0.8813,images/native3d_foreground_occlusion_left_75pct_target_current_detector.png
native3d_foreground_occlusion_left_85pct_target,official_simenv_20260705_3d_red_ball_occlusion,strict_candidate_required,pass,1,1,0,0,0.9172,images/native3d_foreground_occlusion_left_85pct_target_current_detector.png
native3d_foreground_occlusion_right_05pct_target,official_simenv_20260705_3d_red_ball_occlusion,reobserve_candidate_required,pass,1,0,1,0,0.1972,images/native3d_foreground_occlusion_right_05pct_target_current_detector.png
native3d_foreground_occlusion_right_10pct_target,official_simenv_20260705_3d_red_ball_occlusion,reobserve_candidate_required,pass,1,0,1,0,0.1803,images/native3d_foreground_occlusion_right_10pct_target_current_detector.png
native3d_foreground_occlusion_right_15pct_target,official_simenv_20260705_3d_red_ball_occlusion,reobserve_candidate_required,pass,1,0,1,0,0.2088,images/native3d_foreground_occlusion_right_15pct_target_current_detector.png
native3d_foreground_occlusion_right_25pct_target,official_simenv_20260705_3d_red_ball_occlusion,reobserve_candidate_required,pass,1,0,1,0,0.2452,images/native3d_foreground_occlusion_right_25pct_target_current_detector.png
native3d_foreground_occlusion_right_35pct_target,official_simenv_20260705_3d_red_ball_occlusion,reobserve_candidate_required,pass,1,0,1,0,0.2705,images/native3d_foreground_occlusion_right_35pct_target_current_detector.png
native3d_foreground_occlusion_right_45pct_target,official_simenv_20260705_3d_red_ball_occlusion,strict_candidate_required,pass,1,1,0,0,0.7528,images/native3d_foreground_occlusion_right_45pct_target_current_detector.png
native3d_foreground_occlusion_right_55pct_target,official_simenv_20260705_3d_red_ball_occlusion,strict_candidate_required,pass,1,1,0,0,0.7967,images/native3d_foreground_occlusion_right_55pct_target_current_detector.png
native3d_foreground_occlusion_right_65pct_target,official_simenv_20260705_3d_red_ball_occlusion,strict_candidate_required,pass,1,1,0,0,0.8445,images/native3d_foreground_occlusion_right_65pct_target_current_detector.png
native3d_foreground_occlusion_right_75pct_target,official_simenv_20260705_3d_red_ball_occlusion,strict_candidate_required,pass,1,1,0,0,0.8815,images/native3d_foreground_occlusion_right_75pct_target_current_detector.png
native3d_foreground_occlusion_right_85pct_target,official_simenv_20260705_3d_red_ball_occlusion,strict_candidate_required,pass,1,1,0,0,0.9188,images/native3d_foreground_occlusion_right_85pct_target_current_detector.png
